HEADER,SAMPLE,4
HEADER,HEURISTICS,EXPERIENCE,1,CURIOSITY,1,ACHIEVEMENT,1,COMPLETION,1,AGGRESSION,1,ADRENALINE,1,CAUTION,1,EFFICIENCY,1,
HEADER,Low,1,Med,1,High,1,
POSITION,0.02,0,0.231843,0,0,316.434,0,100
POSITION,0.2637859,0,0.231843,0,0,316.434,0,100
POSITION,0.5122487,0,0.231843,0,0,316.434,0,100
POSITION,0.7552921,-0.2545439,0.231843,0.1360141,0,313.7444,0,100
POSITION,1.006771,-0.7930549,0.231843,0.5683374,0,310.6744,0,100
POSITION,1.255031,-1.470536,0.231843,1.11242,0,309.3849,0,100
POSITION,1.505953,-2.155283,0.231843,1.662336,0,308.9653,0,100
POSITION,1.75417,-2.832647,0.231843,2.206326,0,308.8318,0,100
POSITION,2.006635,-3.521604,0.231843,2.759624,0,308.7881,0,100
POSITION,2.256333,-4.203009,0.231843,3.306858,0,308.7743,0,100
POSITION,2.505246,-4.882266,0.231843,3.852367,0,308.7699,0,100
POSITION,2.755354,-5.564788,0.231843,4.400498,0,308.7685,0,100
POSITION,3.004032,-6.243409,0.231843,4.945494,0,308.768,0,100
POSITION,3.255913,-6.930772,0.231843,5.497511,0,308.7679,0,100
POSITION,3.507429,-7.617138,0.231843,6.048729,0,308.7679,0,100
POSITION,3.753854,-8.289611,0.231843,6.588789,0,308.7679,0,100
POSITION,4.0043,-8.973062,0.231843,7.137662,0,308.7679,0,100
POSITION,4.260318,-9.671717,0.231843,7.698749,0,308.7679,0,100
POSITION,4.505887,-10.34185,0.231843,8.236935,0,308.7679,0,100
POSITION,4.755915,-11.02416,0.231843,8.784898,0,308.7679,0,100
POSITION,5.006058,-11.70678,0.231843,9.333106,0,308.7679,0,100
POSITION,5.255373,-12.38714,0.231843,9.879499,0,308.7679,0,100
POSITION,5.507703,-13.07573,0.231843,10.4325,0,308.7679,0,100
POSITION,5.755763,-13.75266,0.231843,10.97614,0,308.7679,0,100
POSITION,6.004701,-14.43198,0.231843,11.52171,0,308.7679,0,100
POSITION,6.256385,-15.11881,0.231843,12.07329,0,308.7679,0,100
POSITION,6.506609,-15.80165,0.231843,12.62168,0,308.7679,0,100
POSITION,6.756336,-16.48312,0.231843,13.16897,0,308.7679,0,100
POSITION,7.005041,-17.16183,0.231843,13.71404,0,308.7679,0,100
