HEADER,SAMPLE,4
HEADER,HEURISTICS,EXPERIENCE,0.5,CURIOSITY,0.25,ACHIEVEMENT,0.7,COMPLETION,0.25,AGGRESSION,0.15,ADRENALINE,0,CAUTION,1,EFFICIENCY,0,
HEADER,Low,1,Med,1,High,1,
POSITION,0.02,0,0.231843,0,0,316.434,0,100
POSITION,0.2637859,0,0.231843,0,0,316.434,0,100
POSITION,0.5122487,0,0.231843,0,0,316.434,0,100
POSITION,0.7552921,0.2571498,0.231843,-0.1310606,0,343.0627,0,100
POSITION,1.006771,0.9196997,0.231843,-0.325804,0,13.24009,0,100
POSITION,1.255031,1.753386,0.231843,-0.5707002,0,43.03136,0,100
POSITION,1.505953,2.596013,0.231843,-0.8182226,0,73.14204,0,100
POSITION,1.75417,3.429554,0.231843,-1.063077,0,95.29458,0,100
POSITION,2.006635,4.27736,0.231843,-1.312121,0,102.8504,0,100
POSITION,2.256333,5.115877,0.231843,-1.558436,0,105.2393,0,100
POSITION,2.505246,5.951749,0.231843,-1.803974,0,106.005,0,100
POSITION,2.755354,6.791641,0.231843,-2.050693,0,106.253,0,100
POSITION,3.004032,7.626727,0.231843,-2.296,0,106.3323,0,100
POSITION,3.255913,8.47257,0.231843,-2.544468,0,106.3582,0,100
POSITION,3.507429,9.317188,0.231843,-2.792576,0,106.3664,0,100
POSITION,3.753854,10.14472,0.231843,-3.035662,0,106.369,0,100
POSITION,4.0043,10.98575,0.231843,-3.282714,0,106.3698,0,100
POSITION,4.260318,11.84548,0.231843,-3.535263,0,106.37,0,100
POSITION,4.505887,12.67013,0.231843,-3.777504,0,106.37,0,100
POSITION,4.755915,13.50976,0.231843,-4.024146,0,106.3701,0,100
POSITION,5.006058,14.34977,0.231843,-4.270897,0,106.3701,0,100
POSITION,5.255373,15.18699,0.231843,-4.516837,0,106.3701,0,100
POSITION,5.507703,16.03435,0.231843,-4.765749,0,106.3701,0,100
POSITION,5.755763,16.86736,0.231843,-5.010446,0,106.3701,0,100
POSITION,6.004701,17.70332,0.231843,-5.256011,0,106.3701,0,100
POSITION,6.256385,18.54851,0.231843,-5.504283,0,106.3701,0,100
POSITION,6.506609,19.38878,0.231843,-5.751116,0,106.3701,0,100
POSITION,6.756336,20.22739,0.231843,-5.997458,0,106.3701,0,100
POSITION,7.005041,21.06258,0.231843,-6.242797,0,106.3701,0,100
