HEADER,SAMPLE,4
HEADER,HEURISTICS,EXPERIENCE,0.8578959,CURIOSITY,0.2937284,ACHIEVEMENT,0.4180322,COMPLETION,0.7445828,AGGRESSION,0.587666,ADRENALINE,0.5351259,CAUTION,0.7849246,EFFICIENCY,0.1716996,
HEADER,Low,1,Med,1,High,1,
POSITION,0.02,0,0.231843,0,0,316.434,0,100
POSITION,0.2620422,0,0.231843,0,0,316.434,0,100
POSITION,0.5066327,0,0.231843,0,0,316.434,0,100
POSITION,0.75869,0.08925768,0.231843,-0.07647832,0,299.5646,0,100
POSITION,1.006549,-0.2702195,0.231843,0.01386633,0,285.1801,0,100
POSITION,1.257889,-1.139042,0.231843,0.01437264,0,274.801,0,100
POSITION,1.506042,-2.004018,0.231843,0.01002725,0,274.9426,0,100
POSITION,1.758056,-2.572169,0.231843,0.007173031,0,305.0539,0,100
POSITION,2.004811,-2.669691,0.231843,0.006683113,0,331.5737,0,100
POSITION,2.256683,-2.669691,0.231843,0.006683113,0,331.5737,0,100
POSITION,2.505227,-2.669691,0.231843,0.006683113,0,326.5882,0,100
POSITION,2.758615,-2.669691,0.231843,0.006683113,0,266.1239,0,100
POSITION,3.008789,-2.669691,0.231843,0.006683113,0,212.7416,0,100
POSITION,3.259182,-2.669691,0.231843,0.006683113,0,212.7416,0,100
POSITION,3.506711,-2.669691,0.231843,0.006683113,0,213.7491,0,100
POSITION,3.764493,-2.669691,0.231843,0.006683113,0,243.8754,0,100
POSITION,4.009158,-2.670971,0.231843,0.006676681,0,271.2507,0,100
POSITION,4.255704,-2.949986,0.231843,0.005274988,0,270.6102,0,100
POSITION,4.509459,-3.565013,0.231843,0.2067915,0,283.2217,0,100
POSITION,4.754649,-4.200262,0.231843,0.7626142,0,302.196,0,100
POSITION,5.004515,-4.849313,0.231843,1.348734,0,308.9149,0,100
POSITION,5.259746,-5.512302,0.231843,1.947438,0,311.091,0,100
POSITION,5.507637,-6.15622,0.231843,2.528922,0,311.7622,0,100
POSITION,5.756121,-6.801686,0.231843,3.111802,0,311.9794,0,100
POSITION,6.007099,-7.453627,0.231843,3.700528,0,312.0501,0,100
POSITION,6.255738,-8.099492,0.231843,4.283768,0,312.0725,0,100
POSITION,6.507054,-8.752309,0.231843,4.873287,0,312.0798,0,100
POSITION,6.760688,-9.417239,0.231843,5.459566,0,311.1443,0,100
POSITION,7.008068,-10.17592,0.231843,5.873775,0,302.4014,0,100
POSITION,7.255733,-10.94265,0.231843,6.278132,0,299.2936,0,100
POSITION,7.505211,-11.715,0.231843,6.685448,0,298.2825,0,100
POSITION,7.757805,-12.49699,0.231843,7.097853,0,297.9566,0,100
POSITION,8.008435,-13.27291,0.231843,7.507049,0,297.8541,0,100
POSITION,8.256842,-14.04194,0.231843,7.91262,0,297.8215,0,100
POSITION,8.59242,-15.08084,0.231843,8.460511,0,297.8089,0,100
POSITION,8.758849,-15.5961,0.231843,8.732243,0,297.8074,0,100
POSITION,9.011847,-16.37935,0.231843,9.145307,0,297.8065,0,100
POSITION,9.257122,-17.13869,0.231843,9.545768,0,297.8277,0,100
POSITION,9.508775,-17.75535,0.231843,10.14368,0,311.0533,0,100
POSITION,9.757801,-18.264,0.231843,10.85145,0,320.042,0,100
POSITION,10.00744,-18.77388,0.231843,11.56096,0,322.9341,0,100
POSITION,10.25789,-19.28543,0.231843,12.27278,0,323.8624,0,100
POSITION,10.50711,-19.7945,0.231843,12.98114,0,324.1576,0,100
POSITION,10.75613,-20.30313,0.231843,13.68889,0,324.2522,0,100
POSITION,11.00599,-20.81348,0.231843,14.39903,0,324.2827,0,100
POSITION,11.25879,-21.32984,0.231843,15.11754,0,324.2926,0,100
POSITION,11.50858,-21.84005,0.231843,15.8275,0,324.2957,0,100
POSITION,11.75569,-22.34478,0.231843,16.52981,0,324.2967,0,100
POSITION,12.01031,-22.86485,0.231843,17.25351,0,324.297,0,100
POSITION,12.25867,-23.37213,0.231843,17.95938,0,324.2971,0,100
POSITION,12.50707,-23.87951,0.231843,18.6654,0,324.2972,0,100
INTERACTION,12.59319,Robot Kyle (17),-24.63334,0.4334648,19.71437,100
COMBAT,12.59319,High,0,0,-8.011826,91.98817,0,12.59319,
POSITION,12.75909,-24.39424,0.231843,19.38166,0,324.2973,0,91.98817
POSITION,13.00877,-24.6381,0.231843,19.72407,0,324.9236,0,91.98817
POSITION,13.25834,-24.79373,0.231843,20.0413,0,329.0365,0,91.98817
POSITION,13.50455,-25.14069,0.231843,20.74848,0,332.1792,0,91.98817
POSITION,13.76346,-25.53981,0.231843,21.562,0,333.347,0,91.98817
POSITION,14.00678,-25.91493,0.231843,22.32657,0,333.6944,0,91.98817
POSITION,14.26068,-26.30635,0.231843,23.12436,0,333.8121,0,91.98817
POSITION,14.51091,-26.69211,0.231843,23.91065,0,333.8489,0,91.98817
POSITION,14.75547,-27.06913,0.231843,24.67908,0,333.8605,0,91.98817
POSITION,15.00511,-27.454,0.231843,25.46353,0,333.8644,0,91.98817
POSITION,15.25777,-27.84351,0.231843,26.25743,0,333.8657,0,91.98817
POSITION,15.51347,-28.23772,0.231843,27.0609,0,333.8661,0,91.98817
POSITION,15.75518,-28.61035,0.231843,27.8204,0,333.8662,0,91.98817
POSITION,16.0052,-28.99578,0.231843,28.606,0,333.8662,0,91.98817
POSITION,16.25444,-29.38003,0.231843,29.3892,0,333.8662,0,91.98817
POSITION,16.5053,-29.76678,0.231843,30.17746,0,333.8662,0,91.98817
POSITION,16.75918,-30.15817,0.231843,30.9752,0,333.8662,0,91.98817
POSITION,17.00587,-30.53849,0.231843,31.75038,0,333.8662,0,91.98817
POSITION,17.25677,-30.9253,0.231843,32.53876,0,333.8662,0,91.98817
POSITION,17.50588,-31.30931,0.231843,33.32148,0,333.8662,0,91.98817
POSITION,17.75741,-31.69708,0.231843,34.11182,0,333.8662,0,91.98817
POSITION,18.00816,-32.08365,0.231843,34.89972,0,333.8662,0,91.98817
POSITION,18.25471,-32.46375,0.231843,35.67445,0,333.8662,0,91.98817
POSITION,18.50775,-32.85385,0.231843,36.46953,0,333.8662,0,91.98817
POSITION,18.75561,-33.23594,0.231843,37.24833,0,333.8663,0,91.98817
POSITION,19.00452,-33.61967,0.231843,38.03048,0,333.8663,0,91.98817
POSITION,19.2552,-34.00613,0.231843,38.81814,0,333.8663,0,91.98817
POSITION,19.50452,-34.3905,0.231843,39.60154,0,333.8663,0,91.98817
POSITION,19.75447,-34.77581,0.231843,40.38694,0,333.8663,0,91.98817
POSITION,20.00688,-35.13025,0.231843,41.10936,0,350.4683,0,91.98817
POSITION,20.25922,-35.2823,0.231843,41.41927,0,20.66589,0,91.98817
POSITION,20.50517,-35.28585,0.231843,41.42651,0,33.31658,0,91.98817
POSITION,20.75521,-35.28585,0.231843,41.42651,0,33.31658,0,91.98817
POSITION,21.00953,-35.28585,0.231843,41.42651,0,1.49006,0,91.98817
POSITION,21.25546,-35.28585,0.231843,41.42651,0,302.1266,0,91.98817
POSITION,21.50654,-35.28585,0.231843,41.42651,0,274.8777,0,91.98817
POSITION,21.75731,-35.28585,0.231843,41.42651,0,274.8777,0,91.98817
POSITION,22.01292,-35.28585,0.231843,41.42651,0,289.8996,0,91.98817
POSITION,22.25617,-35.28585,0.231843,41.42651,0,319.3488,0,91.98817
POSITION,22.50716,-35.31712,0.231843,41.49022,0,333.509,0,91.98817
POSITION,22.7552,-35.54116,0.231843,41.9469,0,333.7018,0,91.98817
POSITION,23.00578,-35.9219,0.231843,42.72291,0,333.8132,0,91.98817
POSITION,23.2592,-36.3126,0.231843,43.51921,0,333.8496,0,91.98817
POSITION,23.50598,-36.69302,0.231843,44.29462,0,333.8608,0,91.98817
POSITION,23.75771,-37.0811,0.231843,45.0856,0,333.8645,0,91.98817
POSITION,24.0089,-37.46836,0.231843,45.87492,0,333.8658,0,91.98817
POSITION,24.2582,-37.85268,0.231843,46.65828,0,333.8661,0,91.98817
POSITION,24.50671,-38.23578,0.231843,47.43911,0,333.8661,0,91.98817
POSITION,24.75454,-38.61784,0.231843,48.21782,0,333.8662,0,91.98817
POSITION,25.00547,-39.00469,0.231843,49.00627,0,333.8663,0,91.98817
POSITION,25.26272,-39.40126,0.231843,49.8146,0,333.8664,0,91.98817
POSITION,25.51209,-39.7857,0.231843,50.59816,0,333.8664,0,91.98817
INTERACTION,25.58501,Robot Kyle (6),-40.33334,0.2434648,51.71437,91.98817
COMBAT,25.58501,High,0,0,-7.705124,84.28305,0,25.58501,
POSITION,25.83675,-40.32468,0.231843,51.54614,0,322.8571,0,84.28305
POSITION,26.00803,-40.75443,0.231843,51.75489,0,308.6301,0,84.28305
POSITION,26.25604,-41.53535,0.231843,51.68559,0,279.2825,0,84.28305
POSITION,26.50629,-42.38289,0.231843,51.46461,0,263.0157,0,84.28305
POSITION,26.75842,-43.23681,0.231843,51.24196,0,257.7987,0,84.28305
POSITION,27.00558,-44.07388,0.231843,51.0237,0,256.1682,0,84.28305
POSITION,27.25709,-44.92566,0.231843,50.80159,0,255.6284,0,84.28305
POSITION,27.51835,-45.8105,0.231843,50.57088,0,255.4597,0,84.28305
POSITION,27.75606,-46.61557,0.231843,50.36097,0,255.4111,0,84.28305
POSITION,28.00611,-47.47062,0.231843,50.1983,0,259.2372,0,84.28305
POSITION,28.25873,-48.35455,0.231843,50.17775,0,265.6907,0,84.28305
POSITION,28.50519,-49.21698,0.231843,50.15771,0,267.7,0,84.28305
POSITION,28.75773,-50.10061,0.231843,50.13715,0,268.3616,0,84.28305
POSITION,29.00518,-50.96643,0.231843,50.11702,0,268.5688,0,84.28305
POSITION,29.2575,-51.84931,0.231843,50.09649,0,268.6367,0,84.28305
POSITION,29.51089,-52.73593,0.231843,50.07588,0,268.6583,0,84.28305
POSITION,29.7618,-53.61386,0.231843,50.05545,0,268.6652,0,84.28305
POSITION,30.0127,-54.49176,0.231843,50.03507,0,268.6673,0,84.28305
POSITION,30.256,-55.34316,0.231843,50.02174,0,269.0809,0,84.28305
POSITION,30.50958,-56.23069,0.231843,50.0195,0,269.6127,0,84.28305
POSITION,30.75726,-57.09758,0.231843,50.01733,0,269.7774,0,84.28305
POSITION,31.00896,-57.97855,0.231843,50.01513,0,269.8311,0,84.28305
POSITION,31.25998,-58.85708,0.231843,50.01292,0,269.8481,0,84.28305
POSITION,31.50656,-59.72009,0.231843,50.01075,0,269.8535,0,84.28305
POSITION,31.75858,-60.60212,0.231843,50.00855,0,269.8552,0,84.28305
POSITION,32.00996,-61.48191,0.231843,50.00634,0,269.8554,0,84.28305
POSITION,32.25647,-62.3447,0.231843,50.00418,0,269.8555,0,84.28305
POSITION,32.50776,-63.2242,0.231843,50.00242,0,269.8875,0,84.28305
POSITION,32.76114,-64.11103,0.231843,50.0022,0,269.9536,0,84.28305
POSITION,33.01092,-64.98528,0.231843,50.00196,0,269.9743,0,84.28305
POSITION,33.2552,-65.84027,0.231843,50.00175,0,269.9807,0,84.28305
POSITION,33.5059,-66.7177,0.231843,50.00154,0,269.9826,0,84.28305
POSITION,33.76301,-67.61751,0.231843,50.00129,0,269.9829,0,84.28305
POSITION,34.00747,-68.47313,0.231843,50.00103,0,269.9831,0,84.28305
POSITION,34.25915,-69.354,0.231843,50.00079,0,269.983,0,84.28305
POSITION,34.5074,-70.22286,0.231843,50.00053,0,269.983,0,84.28305
POSITION,34.75819,-71.10042,0.231843,49.999,0,269.7979,0,84.28305
POSITION,35.01236,-71.95198,0.231843,49.77148,0,258.533,0,84.28305
POSITION,35.25687,-72.76124,0.231843,49.4932,0,253.4814,0,84.28305
POSITION,35.51174,-73.6048,0.231843,49.20313,0,251.7926,0,84.28305
POSITION,35.75989,-74.42621,0.231843,48.92069,0,251.2716,0,84.28305
POSITION,36.00837,-75.24863,0.231843,48.63789,0,251.1037,0,84.28305
POSITION,36.26036,-76.08268,0.231843,48.3511,0,251.0492,0,84.28305
POSITION,36.50826,-76.90313,0.231843,48.06898,0,251.032,0,84.28305
POSITION,36.75799,-77.72966,0.231843,47.78477,0,251.0265,0,84.28305
POSITION,37.00616,-78.55101,0.231843,47.50233,0,251.0247,0,84.28305
POSITION,37.26366,-79.40331,0.231843,47.20926,0,251.0242,0,84.28305
INTERACTION,37.50249,Robot Kyle (13),-81.13334,0.1334648,46.61437,84.28305
COMBAT,37.50249,High,0,0,0,84.28305,0,37.50249,
POSITION,37.50967,-80.21758,0.231843,46.92927,0,251.024,0,84.28305
POSITION,37.75871,-81.03407,0.231843,46.6485,0,251.0244,0,84.28305
POSITION,38.01337,-81.13334,0.231843,46.61437,0,251.0245,0,84.28305
POSITION,38.26741,-81.17728,0.231843,46.60495,0,252.7378,0,84.28305
POSITION,38.50866,-81.25505,0.231843,46.58829,0,283.257,0,84.28305
POSITION,38.75567,-81.25505,0.231843,46.58829,0,312.1253,0,84.28305
POSITION,39.00744,-81.25505,0.231843,46.58829,0,312.1253,0,84.28305
POSITION,39.25776,-81.25505,0.231843,46.58829,0,312.7378,0,84.28305
POSITION,39.50755,-81.25505,0.231843,46.58829,0,252.6319,0,84.28305
POSITION,39.7629,-81.25505,0.231843,46.58829,0,192.9045,0,84.28305
POSITION,40.00893,-81.25505,0.231843,46.58829,0,192.9045,0,84.28305
POSITION,40.26147,-81.25505,0.231843,46.58829,0,192.9045,0,84.28305
POSITION,40.50705,-81.25505,0.231843,46.58829,0,220.6565,0,84.28305
POSITION,40.75566,-81.25505,0.231843,46.58829,0,250.9609,0,84.28305
POSITION,41.01043,-81.47604,0.231843,46.54093,0,254.6411,0,84.28305
POSITION,41.25899,-82.17008,0.231843,46.39218,0,256.6794,0,84.28305
POSITION,41.50708,-83.01914,0.231843,46.21022,0,257.508,0,84.28305
POSITION,41.75545,-83.88451,0.231843,46.1602,0,264.3821,0,84.28305
POSITION,42.00577,-84.76047,0.231843,46.14291,0,267.4342,0,84.28305
POSITION,42.25793,-85.64288,0.231843,46.12549,0,268.4146,0,84.28305
POSITION,42.50813,-86.51836,0.231843,46.10821,0,268.7233,0,84.28305
POSITION,42.75639,-87.38708,0.231843,46.09106,0,268.8219,0,84.28305
POSITION,43.00931,-88.2721,0.231843,46.07358,0,268.8543,0,84.28305
POSITION,43.25469,-89.13074,0.231843,46.05662,0,268.8644,0,84.28305
POSITION,43.50482,-90.006,0.231843,46.03936,0,268.8679,0,84.28305
POSITION,43.75676,-90.88761,0.231843,46.02195,0,268.869,0,84.28305
POSITION,44.00535,-91.75764,0.231843,46.01769,0,269.496,0,84.28305
POSITION,44.25773,-92.64097,0.231843,46.01581,0,269.7562,0,84.28305
POSITION,44.50795,-93.51675,0.231843,46.01392,0,269.8382,0,84.28305
POSITION,44.75766,-94.39069,0.231843,46.01204,0,269.8646,0,84.28305
POSITION,45.00615,-95.26043,0.231843,46.01017,0,269.873,0,84.28305
POSITION,45.25759,-96.14039,0.231843,46.00828,0,269.8758,0,84.28305
POSITION,45.5086,-97.01894,0.231843,46.00639,0,269.8767,0,84.28305
POSITION,45.76007,-97.89913,0.231843,46.0045,0,269.877,0,84.28305
POSITION,46.00782,-98.76629,0.231843,46.00264,0,269.8771,0,84.28305
POSITION,46.25579,-99.62287,0.231843,45.90074,0,264.1299,0,84.28305
POSITION,46.50732,-100.4814,0.231843,45.70594,0,259.4172,0,84.28305
POSITION,46.75614,-101.3307,0.231843,45.51323,0,257.9259,0,84.28305
POSITION,47.00839,-102.1917,0.231843,45.31787,0,257.4414,0,84.28305
POSITION,47.25939,-103.0484,0.231843,45.12349,0,257.2881,0,84.28305
POSITION,47.51102,-103.9073,0.231843,44.92862,0,257.2391,0,84.28305
POSITION,47.75932,-104.7548,0.231843,44.73632,0,257.2236,0,84.28305
POSITION,48.00809,-105.6039,0.231843,44.54366,0,257.2186,0,84.28305
POSITION,48.25885,-106.4598,0.231843,44.34946,0,257.2171,0,84.28305
POSITION,48.50645,-107.2877,0.231843,44.13974,0,255.5552,0,84.28305
POSITION,48.75695,-107.8527,0.231843,43.65718,0,236.2881,0,84.28305
POSITION,49.00982,-108.0633,0.231843,42.85283,0,207.284,0,84.28305
POSITION,49.26083,-108.1839,0.231843,41.98259,0,194.0351,0,84.28305
POSITION,49.5088,-108.3031,0.231843,41.12293,0,189.871,0,84.28305
POSITION,49.75671,-108.421,0.231843,40.26483,0,188.4726,0,84.28305
POSITION,50.00932,-108.541,0.231843,39.39176,0,188.0378,0,84.28305
POSITION,50.26384,-108.6649,0.231843,38.51225,0,188.0574,0,84.28305
POSITION,50.50917,-108.9773,0.231843,37.73025,0,199.1933,0,84.28305
POSITION,50.75768,-109.4178,0.3264313,36.98496,0,206.9049,0,84.28305
POSITION,51.01317,-109.9572,0.4161513,36.36294,0,218.829,0,84.28305
POSITION,51.25843,-110.712,0.4252518,36.1824,0,245.5646,0,84.28305
POSITION,51.51098,-111.5959,0.4189316,36.19547,0,262.8731,0,84.28305
POSITION,51.763,-112.4779,0.4165543,36.2085,0,268.3367,0,84.28305
POSITION,52.0092,-113.3394,0.4123236,36.22125,0,270.0338,0,84.28305
POSITION,52.2617,-114.223,0.4079844,36.23433,0,270.5913,0,84.28305
POSITION,52.51186,-115.0985,0.4036852,36.24728,0,270.7661,0,84.28305
POSITION,52.75982,-115.9662,0.3994243,36.2601,0,270.8214,0,84.28305
